Optimal policy for availability model v2

Inventory level | Order quantity | Probability
==============================================
            -10 |              9 | 0.000000086
             -9 |              9 | 0.000001883
             -8 |              9 | 0.000019680
             -7 |              9 | 0.000130236
             -6 |              9 | 0.000613811
             -5 |              9 | 0.002198975
             -4 |              9 | 0.006247490
             -3 |              9 | 0.014525811
             -2 |              9 | 0.028391758
             -1 |              9 | 0.047911602
              0 |              9 | 0.071847241
              1 |              8 | 0.098563029
              2 |              7 | 0.126097291
              3 |              6 | 0.149468911
              4 |              5 | 0.157736644
              5 |              4 | 0.139071749
              6 |              3 | 0.095077785
              7 |              0 | 0.046163338
              8 |              0 | 0.013968201
              9 |              0 | 0.001964482
             10 |              0 | 0.000000000
             11 |              0 | 0.000000000
             12 |              0 | 0.000000000
             13 |              0 | 0.000000000
             14 |              0 | 0.000000000
             15 |              0 | 0.000000000
             16 |              0 | 0.000000000
             17 |              0 | 0.000000000
             18 |              0 | 0.000000000
             19 |              0 | 0.000000000
             20 |              0 | 0.000000000

Expected total cost per period:   27.8597
Expected inventory level:          3.1485
Maximum inventory level:           9.0000
Expected shortage:                 0.1890
Maximum shortage:                 10.0000
Expected order quantity:           5.7452
